lead_id,phone_number,full_name,created_at,campaign_id,post_id,landing_page,product_interest,region,branch,need_type,lead_status,lead_segment,utm_medium
WEB-01361,0921738563,Khách hàng 1361,1769960760,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỏi ưu đãi,contacting,hot,organic
WEB-01533,0963238221,Khách hàng 1533,1770053520,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Hỗ trợ hồ sơ,submitted,warm,organic
WEB-01387,0908063881,Khách hàng 1387,1770062100,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,contacting,nurture,email
WEB-01508,0914475967,Khách hàng 1508,1770200760,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,So sánh sản phẩm,contacting,low_priority,referral
WEB-00097,0953554322,Khách hàng 0097,1770212520,CMP-2026-Q1,P-Q1-06,/lp/cmp-2026-q1,Vay mua nhà,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,contacting,warm,email
WEB-00072,0976650598,Khách hàng 0072,1770220320,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Tư vấn sản phẩm,new,nurture,referral
WEB-01668,0942381298,Khách hàng 1668,1770319860,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,submitted,hot,organic
WEB-01124,0942680294,Khách hàng 1124,1770379260,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,submitted,warm,cpc
WEB-05581,0973184957,Khách hàng 1135,1770454680,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,contacting,warm,cpc
WEB-00068,0965118269,Khách hàng 0068,1770484260,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,new,nurture,email
WEB-00087,0904885227,Khách hàng 0087,1770493500,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỗ trợ hồ sơ,won,nurture,referral
WEB-00128,0934217999,Khách hàng 0128,1770585000,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,new,low_priority,organic
WEB-00104,0908758178,Khách hàng 0104,1770589560,CMP-2026-Q1,P-Q1-06,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,submitted,nurture,email
WEB-00085,0903218051,Khách hàng 0085,1770677880,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,won,warm,referral
WEB-00076,0960718324,Khách hàng 0076,1770716340,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,submitted,nurture,organic
WEB-01531,0973841641,Khách hàng 1531,1770719340,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,new,warm,referral
WEB-01194,0949912275,Khách hàng 1194,1770733560,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,consulted,nurture,organic
WEB-00156,0949055696,Khách hàng 0156,1770796320,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,unreachable,nurture,organic
WEB-00071,0989923063,Khách hàng 0071,1770839640,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,new,low_priority,email
WEB-00190,0999899105,Khách hàng 0190,1770882300,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,new,hot,cpc
WEB-00089,0967749686,Khách hàng 0089,1770890700,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Mở mới,new,low_priority,referral
WEB-01630,0944181532,Khách hàng 1630,1770914280,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,new,low_priority,organic
WEB-01592,0997237107,Khách hàng 1592,1770916260,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,consulted,nurture,referral
WEB-01888,0996482537,Khách hàng 1888,1770925920,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,So sánh sản phẩm,new,nurture,referral
WEB-01717,0958866822,Khách hàng 1717,1770988740,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Mở mới,contacting,hot,referral
WEB-01852,0956184055,Khách hàng 1852,1770999120,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,new,warm,referral
WEB-00175,0987311085,Khách hàng 0175,1771068420,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,contacting,warm,organic
WEB-00092,0962417820,Khách hàng 0092,1771084620,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,won,warm,referral
WEB-01295,0936730602,Khách hàng 1295,1771086480,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,submitted,nurture,referral
WEB-01267,0963850413,Khách hàng 1267,1771086720,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,contacting,hot,organic
WEB-00069,0938621247,Khách hàng 0069,1771093680,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,unreachable,nurture,organic
WEB-00189,0910106687,Khách hàng 0189,1771140900,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,new,warm,cpc
WEB-00118,0930454308,Khách hàng 0118,1771145400,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,consulted,low_priority,referral
WEB-00187,0998601241,Khách hàng 0187,1771150500,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,consulted,hot,email
WEB-01274,0917278655,Khách hàng 1274,1771154280,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,contacting,low_priority,email
WEB-00165,0991833739,Khách hàng 0165,1771164300,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Mở mới,consulted,warm,cpc
WEB-00075,0964423571,Khách hàng 0075,1771166520,CMP-2026-Q1,P-Q1-05,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,unreachable,low_priority,organic
WEB-01564,0976190921,Khách hàng 1564,1771231140,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Tư vấn sản phẩm,unreachable,hot,cpc
WEB-01470,0963453578,Khách hàng 1470,1771231740,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,new,low_priority,cpc
WEB-01863,0981500474,Khách hàng 1863,1771256700,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Hỗ trợ hồ sơ,new,warm,referral
WEB-01538,0934137376,Khách hàng 1538,1771258860,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,consulted,nurture,cpc
WEB-01825,0912983271,Khách hàng 1825,1771329540,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỗ trợ hồ sơ,new,nurture,email
WEB-01834,0958619629,Khách hàng 1834,1771337160,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,won,hot,organic
WEB-00115,0926066383,Khách hàng 0115,1771340580,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,won,hot,email
WEB-00171,0974297566,Khách hàng 0171,1771358340,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,contacting,nurture,email
WEB-01093,0930369455,Khách hàng 1093,1771414920,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,consulted,warm,referral
WEB-00197,0900829716,Khách hàng 0197,1771494480,CMP-2026-Q1,P-Q1-09,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,So sánh sản phẩm,new,warm,organic
WEB-00100,0903131791,Khách hàng 0100,1771582920,CMP-2026-Q1,P-Q1-06,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,contacting,nurture,email
WEB-00149,0925908874,Khách hàng 0149,1771602840,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỏi ưu đãi,new,warm,cpc
WEB-00130,0970000317,Khách hàng 0130,1771608420,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,new,low_priority,referral
WEB-00110,0969344741,Khách hàng 0110,1771608540,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Vay mua nhà,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,new,low_priority,referral
WEB-01815,0910762857,Khách hàng 1815,1771621080,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,contacting,nurture,referral
WEB-00182,0919483007,Khách hàng 0182,1771626240,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Hỗ trợ hồ sơ,consulted,hot,email
WEB-00153,0966401396,Khách hàng 0153,1771658880,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,contacting,hot,email
WEB-01239,0958527464,Khách hàng 1239,1771663620,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,new,warm,cpc
WEB-01835,0910332920,Khách hàng 1835,1771704240,CMP-2026-Q1,,/lp/cmp-2026-q1,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Mở mới,submitted,warm,organic
WEB-01352,0969440776,Khách hàng 1352,1771705620,CMP-2026-Q1,,/lp/cmp-2026-q1,Vay mua nhà,Miền Nam,CN Bình Dương,Mở mới,submitted,hot,organic
WEB-00116,0985453613,Khách hàng 0116,1771751700,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Vay mua nhà,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,submitted,nurture,organic
WEB-01892,0977802455,Khách hàng 1892,1771769700,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,unreachable,warm,referral
WEB-00133,0920372781,Khách hàng 0133,1771774260,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Mở mới,submitted,warm,organic
WEB-00101,0983656003,Khách hàng 0101,1771791780,CMP-2026-Q1,P-Q1-06,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,So sánh sản phẩm,unreachable,nurture,organic
WEB-00106,0944484371,Khách hàng 0106,1771835400,CMP-2026-Q1,P-Q1-06,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,new,warm,referral
WEB-01750,0972446623,Khách hàng 1750,1771844160,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,submitted,hot,email
WEB-01582,0944022335,Khách hàng 1582,1771936020,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,contacting,nurture,organic
WEB-00132,0967755359,Khách hàng 0132,1771959480,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,consulted,low_priority,organic
WEB-00168,0934694508,Khách hàng 0168,1771966380,CMP-2026-Q1,P-Q1-08,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,consulted,warm,referral
WEB-00214,0940670399,Khách hàng 0214,1772020380,CMP-2026-Q1,P-Q1-09,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,unreachable,warm,email
WEB-01442,0907941999,Khách hàng 1442,1772097900,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,new,warm,referral
WEB-00221,0962587920,Khách hàng 0221,1772101020,CMP-2026-Q1,P-Q1-09,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,consulted,warm,email
WEB-00137,0924448745,Khách hàng 0137,1772103540,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,submitted,nurture,email
WEB-01675,0907162584,Khách hàng 1675,1772203800,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Mở mới,contacting,low_priority,referral
WEB-01944,0907762877,Khách hàng 1944,1772206440,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,contacting,hot,cpc
WEB-00154,0942478771,Khách hàng 0154,1772216700,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,So sánh sản phẩm,new,warm,referral
WEB-05651,0951427786,Khách hàng 1932,1772271420,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,new,nurture,email
WEB-01780,0926712987,Khách hàng 1780,1772293320,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,submitted,nurture,organic
WEB-00155,0915597375,Khách hàng 0155,1772302020,CMP-2026-Q1,P-Q1-07,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Mở mới,unreachable,warm,email
WEB-01710,0951084417,Khách hàng 1710,1772359080,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,consulted,nurture,referral
WEB-01518,0960731907,Khách hàng 1518,1772366280,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,consulted,warm,organic
