MaLead,SoDienThoai,HoTen,NgayTiepNhan,MaChienDich,MaBaiViet,SanPham,Vung,ChiNhanh,NhuCau,TrangThai,PhanLoai,GiaoDichVien
BRC-01550,0961065787,Khách hàng 1550,13/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-028
BRC-01793,0964687691,Khách hàng 1793,13/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Chuyển hồ sơ,Cần nuôi,GDV-021
BRC-01476,0952808388,Khách hàng 1476,13/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Mới,Ưu tiên thấp,GDV-002
BRC-01638,0932869301,Khách hàng 1638,14/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Thành công,Cần nuôi,GDV-054
BRC-01427,0965893757,Khách hàng 1427,14/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Đã tư vấn,Ấm,GDV-006
BRC-01819,0904521294,Khách hàng 1819,14/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Tư vấn sản phẩm,Mới,Ưu tiên thấp,GDV-044
BRC-01933,0959420978,Khách hàng 1933,14/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,So sánh sản phẩm,Mới,Nóng,GDV-032
BRC-01227,0977274761,Khách hàng 1227,15/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Đang liên hệ,Cần nuôi,GDV-053
BRC-01671,0936807035,Khách hàng 1671,16/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Đã tư vấn,Ấm,GDV-025
BRC-01679,0980747601,Khách hàng 1679,16/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Chuyển hồ sơ,Ấm,GDV-041
BRC-01331,0925267526,Khách hàng 1331,16/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,So sánh sản phẩm,Mới,Ấm,GDV-034
BRC-01791,0957742366,Khách hàng 1791,17/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Mở mới,Chuyển hồ sơ,Nóng,GDV-009
BRC-01161,0920880102,Khách hàng 1161,17/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Thành công,Ấm,GDV-037
BRC-01795,0955609541,Khách hàng 1795,17/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Chuyển hồ sơ,Ưu tiên thấp,GDV-047
BRC-01253,0925337434,Khách hàng 1253,18/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,Không liên hệ được,Cần nuôi,GDV-051
BRC-01226,0982194614,Khách hàng 1226,18/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-026
BRC-01424,0905654617,Khách hàng 1424,18/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,Đã tư vấn,Ấm,GDV-053
BRC-01251,0991062216,Khách hàng 1251,19/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Đã tư vấn,Ưu tiên thấp,GDV-035
BRC-01503,0943228879,Khách hàng 1503,19/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Hỏi ưu đãi,Mới,Cần nuôi,GDV-006
BRC-01443,0905348024,Khách hàng 1443,19/01/2026,CMP-2026-Q1,,Vay mua nhà,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đang liên hệ,Ấm,GDV-053
BRC-01346,0950147509,Khách hàng 1346,19/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Mới,Ấm,GDV-040
BRC-01205,0952716084,Khách hàng 1205,20/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,Đang liên hệ,Cần nuôi,GDV-034
BRC-01952,0982931682,Khách hàng 1952,20/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Chuyển hồ sơ,Ấm,GDV-039
BRC-01940,0939130738,Khách hàng 1940,20/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Hỗ trợ hồ sơ,Đang liên hệ,Nóng,GDV-042
BRC-01621,0987582099,Khách hàng 1621,20/01/2026,CMP-2026-Q1,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,So sánh sản phẩm,Thành công,Ưu tiên thấp,GDV-027
BRC-01378,0944998497,Khách hàng 1378,20/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Hỏi ưu đãi,Đang liên hệ,Cần nuôi,GDV-018
BRC-01859,0990372941,Khách hàng 1859,20/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Mới,Ấm,GDV-008
BRC-01990,0905683929,Khách hàng 1990,21/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,Chuyển hồ sơ,Ấm,GDV-054
BRC-01512,0954747686,Khách hàng 1512,21/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Mới,Cần nuôi,GDV-029
BRC-01123,0995042641,Khách hàng 1123,21/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Chuyển hồ sơ,Cần nuôi,GDV-038
BRC-01260,0984437074,Khách hàng 1260,21/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Ấm,GDV-020
BRC-01246,0974620687,Khách hàng 1246,21/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Mới,Nóng,GDV-026
BRC-01432,0905121300,Khách hàng 1432,21/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-023
BRC-01683,0940481872,Khách hàng 1683,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Đã tư vấn,Cần nuôi,GDV-049
BRC-01652,0930441012,Khách hàng 1652,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Chuyển hồ sơ,Cần nuôi,GDV-048
BRC-01488,0967015167,Khách hàng 1488,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Nóng,GDV-017
BRC-01112,0953619688,Khách hàng 1112,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-020
BRC-01781,0943650834,Khách hàng 1781,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Thành công,Ưu tiên thấp,GDV-030
BRC-01492,0919618874,Khách hàng 1492,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Đang liên hệ,Ấm,GDV-023
BRC-01610,0991878110,Khách hàng 1610,22/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-019
BRC-05609,0924540116,Khách hàng 1818,23/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-058
BRC-01600,0952813428,Khách hàng 1600,23/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-017
BRC-01665,0964465992,Khách hàng 1665,23/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-020
BRC-01655,0918670205,Khách hàng 1655,24/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Đã tư vấn,Ấm,GDV-029
BRC-01877,0944666046,Khách hàng 1877,24/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-019
BRC-01785,0915212544,Khách hàng 1785,24/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Đã tư vấn,Nóng,GDV-032
BRC-01177,0932399000,Khách hàng 1177,25/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-030
BRC-01943,0985841386,Khách hàng 1943,25/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-039
BRC-01465,0986727484,Khách hàng 1465,25/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-051
BRC-01587,0940108726,Khách hàng 1587,25/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Hỏi ưu đãi,Không liên hệ được,Ấm,GDV-020
BRC-01982,0915286672,Khách hàng 1982,25/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-054
BRC-01224,0957774505,Khách hàng 1224,25/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-031
BRC-01473,0962601982,Khách hàng 1473,26/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Chuyển hồ sơ,Ưu tiên thấp,GDV-034
BRC-01163,0953785083,Khách hàng 1163,26/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,Đã tư vấn,Nóng,GDV-045
BRC-01277,0946352679,Khách hàng 1277,26/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỏi ưu đãi,Đang liên hệ,Ưu tiên thấp,GDV-031
BRC-01648,0925155163,Khách hàng 1648,26/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,So sánh sản phẩm,Đang liên hệ,Cần nuôi,GDV-028
BRC-01204,0965541715,Khách hàng 1204,26/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,Chuyển hồ sơ,Nóng,GDV-020
BRC-01321,0993061770,Khách hàng 1321,27/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,Thành công,Nóng,GDV-016
BRC-01358,0972240426,Khách hàng 1358,27/01/2026,CMP-2026-Q1,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Đang liên hệ,Ấm,GDV-032
BRC-01365,0946536857,Khách hàng 1365,28/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Mới,Ấm,GDV-046
BRC-01343,0960036235,Khách hàng 1343,28/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Thành công,Nóng,GDV-034
BRC-02005,0998797803,Khách hàng 2005,29/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,Đã tư vấn,Nóng,GDV-030
BRC-01179,0906466845,Khách hàng 1179,29/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Chuyển hồ sơ,Ấm,GDV-034
BRC-01315,0914987869,Khách hàng 1315,29/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-011
BRC-01482,0987408958,Khách hàng 1482,30/01/2026,CMP-2026-Q1,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,So sánh sản phẩm,Mới,Ấm,GDV-008
BRC-01763,0924710554,Khách hàng 1763,30/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Hỏi ưu đãi,Đã tư vấn,Cần nuôi,GDV-034
BRC-01764,0929209329,Khách hàng 1764,30/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,So sánh sản phẩm,Mới,Cần nuôi,GDV-021
BRC-01130,0952866092,Khách hàng 1130,30/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Mới,Nóng,GDV-011
BRC-01117,0956291374,Khách hàng 1117,30/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,So sánh sản phẩm,Mới,Ấm,GDV-051
BRC-01927,0951089601,Khách hàng 1927,30/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Không liên hệ được,Cần nuôi,GDV-021
BRC-01252,0942027473,Khách hàng 1252,31/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Mới,Ấm,GDV-016
BRC-01116,0954019172,Khách hàng 1116,31/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Đang liên hệ,Ấm,GDV-003
BRC-01691,0916243031,Khách hàng 1691,31/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Đã tư vấn,Nóng,GDV-016
BRC-01308,0972538189,Khách hàng 1308,31/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,Chuyển hồ sơ,Ưu tiên thấp,GDV-055
BRC-01165,0902292213,Khách hàng 1165,31/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Mở mới,Đang liên hệ,Ấm,GDV-013
BRC-01519,0931110001,Khách hàng 1519,31/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,So sánh sản phẩm,Chuyển hồ sơ,Ấm,GDV-010
BRC-01467,0977547226,Khách hàng 1467,01/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đang liên hệ,Nóng,GDV-036
BRC-01359,0932415660,Khách hàng 1359,01/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,Không liên hệ được,Ấm,GDV-003
BRC-01743,0977091725,Khách hàng 1743,01/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Chuyển hồ sơ,Ấm,GDV-020
BRC-01963,0993508551,Khách hàng 1963,01/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-058
BRC-01317,0930972508,Khách hàng 1317,01/02/2026,CMP-2026-Q1,,Vay mua nhà,Miền Nam,CN Cần Thơ,Hỗ trợ hồ sơ,Mới,Cần nuôi,GDV-044
BRC-01884,0948351797,Khách hàng 1884,01/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Mới,Ấm,GDV-055
BRC-01198,0959316802,Khách hàng 1198,02/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,So sánh sản phẩm,Đã tư vấn,Ấm,GDV-010
BRC-01987,0946828866,Khách hàng 1987,02/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Chuyển hồ sơ,Ưu tiên thấp,GDV-057
BRC-01899,0905179665,Khách hàng 1899,03/02/2026,CMP-2026-Q1,,Tài khoản lương,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,Thành công,Cần nuôi,GDV-012
BRC-01330,0906292331,Khách hàng 1330,03/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Mới,Cần nuôi,GDV-050
BRC-01140,0987892823,Khách hàng 1140,04/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Thành công,Ưu tiên thấp,GDV-029
BRC-01125,0991067358,Khách hàng 1125,04/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,Chuyển hồ sơ,Cần nuôi,GDV-028
BRC-01699,0996917822,Khách hàng 1699,04/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,Đã tư vấn,Ưu tiên thấp,GDV-024
BRC-05477,0928306459,Khách hàng 1491,04/02/2026,CMP-2026-Q1,,Tài khoản lương,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Chuyển hồ sơ,Nóng,GDV-038
BRC-01738,0924729096,Khách hàng 1738,04/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,Thành công,Nóng,GDV-027
BRC-01453,0971075555,Khách hàng 1453,04/02/2026,CMP-2026-Q1,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-026
BRC-01495,0962621818,Khách hàng 1495,05/02/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,Thành công,Cần nuôi,GDV-017
